id,url,category,scheme,description,last_fetched
1,https://www.amfiindia.com/investor-corner/knowledge-center/mutual-fund-faqs.html,amfi_education,All Schemes,AMFI master Mutual Fund FAQs – expense ratio / exit load / SIP / lock-in,
2,https://www.amfiindia.com/investor-corner/knowledge-center/elss.html,amfi_education,ELSS,AMFI ELSS education – lock-in period and 80C tax benefit details,
3,https://www.amfiindia.com/investor-corner/knowledge-center/sip-faqs.html,amfi_education,All Schemes,AMFI SIP FAQs – minimum SIP amount and frequency options,
4,https://www.amfiindia.com/investor-corner/knowledge-center/common-account-statement.html,amfi_education,All Schemes,AMFI Common Account Statement (CAS) guide,
5,https://www.amfiindia.com/investor-corner/knowledge-center/fact-sheet.html,amfi_education,All Schemes,AMFI factsheet guide – what it contains and how to read it,
6,https://www.amfiindia.com/investor-corner/know-your-fund-manager,amfi_education,All Schemes,AMFI Know Your Fund Manager – Mirae Asset fund manager profiles,
7,https://www.amfiindia.com/investor-corner/knowledge-center/nfo.html,amfi_education,All Schemes,AMFI New Fund Offer (NFO) guide – key investor information,
8,https://www.amfiindia.com/investor-corner/knowledge-center/mutual-fund-faqs.html#exit-load,amfi_education,All Schemes,AMFI exit load section – definitions and investor impact,
9,https://www.sebi.gov.in/legal/circulars/oct-2020/product-labeling-in-mutual-funds-risk-o-meter_47909.html,sebi_circular,All Schemes,SEBI riskometer circular – official risk label definitions,
10,https://www.sebi.gov.in/legal/circulars/sep-2012/rationalization-of-total-expense-ratio-ter-charged-by-mutual-funds_23689.html,sebi_circular,All Schemes,SEBI TER rationalisation circular – expense ratio caps by AUM slab,
11,https://www.sebi.gov.in/legal/circulars/may-2021/categorization-and-rationalization-of-mutual-fund-schemes_50060.html,sebi_circular,All Schemes,SEBI scheme categorisation – Large Cap / Flexi Cap / ELSS / Mid Cap / Liquid definitions,
12,https://www.camsonline.com/Investors/Statements/Detailed-Account-Statement,cams_statement,All Schemes,CAMS official – detailed account statement download guide,
13,https://www.camsonline.com/Investors/Statements/Capital-Gain-Loss-Statement,cams_statement,All Schemes,CAMS official – capital gain/loss statement download guide,
14,https://kfintech.com/investor-services/statements/,kfin_statement,All Schemes,KFintech official – statement download for KFin-serviced funds,
15,https://www.amfiindia.com/investor-corner/knowledge-center/types-of-mutual-funds.html,amfi_education,All Schemes,AMFI types of mutual funds – equity / debt / hybrid / ELSS classification,
16,https://www.amfiindia.com/investor-corner/knowledge-center/how-to-invest.html,amfi_education,All Schemes,AMFI how-to-invest guide – SIP / lump sum / direct vs regular,
17,https://www.amfiindia.com/investor-corner/knowledge-center/taxation.html,amfi_education,All Schemes,AMFI taxation guide – LTCG / STCG / indexation / ELSS 80C,
18,https://www.sebi.gov.in/legal/circulars/jan-2022/guidelines-for-direct-plan-in-mutual-funds_55668.html,sebi_circular,All Schemes,SEBI direct plan circular – direct vs regular plan expense difference,
19,https://www.amfiindia.com/investor-corner/knowledge-center/nav.html,amfi_education,All Schemes,AMFI NAV guide – how NAV is calculated and when it is updated,
20,https://www.amfiindia.com/investor-corner/knowledge-center/riskometer.html,amfi_education,All Schemes,AMFI riskometer guide – Low / Moderate / High / Very High / Very High risk levels,
